srcIP,dstIP,dstPort,timeList,dataList,durList,rare_port,ip_ioc,time_bskew,time_mad,time_acf,data_bskew,data_mad,data_acf,dur_bskew,dur_mad,dur_acf
0.0.0.0,255.255.255.255,68.0,[1759780792.2489998],[350],[],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,32844.0,[1759785198.317],[804],[3003077984.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,33130.0,[1759780638.2910001],[804],[3005208969.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,33411.0,[1759786278.324],[804],[3002761126.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,33544.0,[1759795758.375],[804],[3003142834.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,33761.0,[1759794318.365],[804],[3003453970.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,33849.0,[1759793598.3609998],[804],[3001711130.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,34159.0,[1759798038.388],[804],[3002660036.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,34352.0,[1759796958.3830001],[804],[3001981974.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,34374.0,[1759795878.376],[804],[3003531218.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,34573.0,[1759795398.373],[804],[3003253937.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,34912.0,[1759794918.369],[804],[3002991915.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35003.0,[1759788318.333],[804],[3002019167.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35057.0,[1759783998.313],[804],[3002654076.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35132.0,[1759792398.356],[804],[3003533125.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35207.0,[1759779558.284],[804],[3002511978.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35316.0,[1759795158.371],[804],[3002252102.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35598.0,[1759785918.3209999],[804],[3003447056.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35641.0,[1759777863.034],[804],[3004744053.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35730.0,[1759783638.312],[804],[3002398968.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35825.0,[1759791078.349],[804],[3001465082.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35839.0,[1759789758.3420002],[804],[3003500938.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35864.0,[1759793238.359],[804],[3002104044.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.28.1,239.255.255.250,35905.0,[1759784598.314],[804],[3002702951.0],1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
