ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected
1759314260.235777,C1FS5731zw9Wsmefq7,10.0.0.1,48473,8.8.8.8,53,udp,462,0.0089151859283447,mobile.events.data.microsoft.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdwus02.westus.cloudapp.azure.com']","[34.0, 17.0]",False
1759314266.270103,CcPPqk3ApVNjMXA3K3,10.0.0.1,56503,8.8.8.8,53,udp,33638,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
1759314307.639423,CUCnynyLh45TAIMh8,10.0.0.1,33968,8.8.8.8,53,udp,27444,0.0060820579528808,default.exp-tas.com,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,['13.107.5.93'],[19.0],False
1759314307.646286,CvqcU03Ncjr2eWxj22,10.0.0.1,56983,8.8.8.8,53,udp,8767,,e-0014.e-msedge.net,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314380.21949,CdI85g4pf9Wpks53H,10.0.0.1,45107,8.8.8.8,53,udp,32684,0.0140008926391601,mobile.events.data.microsoft.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdeus20.eastus.cloudapp.azure.com']","[38.0, 24.0]",False
1759314317.667363,CoHmGt2kQmn41H0pW2,10.0.0.1,54450,8.8.8.8,53,udp,39230,,part-0045.t-0009.t-msedge.net,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,False,0,,,False
1759314412.050479,Cd9Uej16DSeAgRATo4,10.0.0.1,38056,8.8.8.8,53,udp,29662,0.0147321224212646,connectivity-check.ubuntu.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['2620:2d:4000:1::2b', '2620:2d:4002:1::197', '2001:67c:1562::23', '2620:2d:4000:1::22', '2620:2d:4000:1::23', '2620:2d:4002:1::196', '2620:2d:4002:1::198', '2001:67c:1562::24', '2620:2d:4000:1::2a', '2620:2d:4000:1::96', '2620:2d:4000:1::98', '2620:2d:4000:1::97']","[38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0]",False
1759314317.655953,Cr5EIM1dePa3bNivVb,10.0.0.1,55430,8.8.8.8,53,udp,13980,0.0155520439147949,main.vscode-cdn.net,1.0,C_INTERNET,1.0,A,0.0,NOERROR,False,False,True,True,0,"['vscode-cdn.z01.azurefd.net', 'star-azurefd-prod.trafficmanager.net', 'shed.dual-low.part-0045.t-0009.t-msedge.net', 'part-0045.t-0009.t-msedge.net', '13.107.246.73', '13.107.213.73']","[2315.0, 16.0, 56.0, 53.0, 56.0, 56.0]",False
1759314317.656158,CC0xCF4OabG4q6WtXh,10.0.0.1,36439,8.8.8.8,53,udp,51604,0.0102279186248779,main.vscode-cdn.net,1.0,C_INTERNET,65.0,HTTPS,0.0,NOERROR,False,False,True,True,0,"['vscode-cdn.z01.azurefd.net', 'star-azurefd-prod.trafficmanager.net', 'shed.dual-low.part-0045.t-0009.t-msedge.net', 'part-0045.t-0009.t-msedge.net']","[2314.0, 15.0, 55.0, 52.0]",False
1759314440.241513,CdUhwJivJLFclgFud,10.0.0.1,36970,8.8.8.8,53,udp,43819,,onedscolprdwus04.westus.cloudapp.azure.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,False,0,,,False
1759314440.220709,Cx9ffs3ZUpVOLyjh93,10.0.0.1,41361,8.8.8.8,53,udp,25867,0.0197679996490478,mobile.events.data.microsoft.com,1.0,C_INTERNET,28.0,AAAA,0.0,NOERROR,False,False,True,True,0,"['mobile.events.data.trafficmanager.net', 'onedscolprdwus04.westus.cloudapp.azure.com']","[99.0, 36.0]",False
1759314313.560267,CvqcU03Ncjr2eWxj22,10.0.0.1,56983,8.8.8.8,53,udp,8767,,,,,,,5.0,REFUSED,False,False,False,False,0,,,True
