ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,origin,info_code,info_msg,resp_filenames
1759314447.862221,C5la0c27sehYq42K9k,10.0.0.2,44016,10.0.0.1,80,2,GET,10.0.0.1,/javascript/umd/backbone.js?h=z87360850,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,116,200.0,OK,[],['FANg8A1GLyT69sMZNj'],['text/plain'],,,,,,,
1759314447.860283,C5la0c27sehYq42K9k,10.0.0.2,44016,10.0.0.1,80,1,POST,10.0.0.1,/api/samples.php?j=61756867,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",134,0,202.0,Accepted,[],,,['FsVaY21O3XAxdimFJ1'],['text/plain'],,,,,
1759314365.740339,C3C4JC2g4ACoD9Trg,10.0.0.2,36986,10.0.0.1,80,1,POST,10.0.0.1,/oauth2/samples.php?e=932g38801,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",551,0,202.0,Accepted,[],,,['FK768f4Hj2hmX3VpI8'],['application/x-gzip'],,,,,
1759314513.13659,C7p2yR1HEwHXkVmOya,10.0.0.2,51254,10.0.0.1,80,1,POST,10.0.0.1,/php/oauth2/namespaces/oauth2callback/samples.php?s=g5733480,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",134,0,202.0,Accepted,[],,,['F25lw7SaMNu4rB6D9'],['text/plain'],,,,,
1759314502.308858,CzzGdLKXowQsLz9Rf,10.0.0.1,52230,91.189.91.98,80,1,GET,connectivity-check.ubuntu.com.,/,1.1,,0,0,204.0,No Content,[],,,,,,,,,
1759314513.138801,C7p2yR1HEwHXkVmOya,10.0.0.2,51254,10.0.0.1,80,2,GET,10.0.0.1,/scripts/umd/jscript/umd/scripts/js/array.js?j=10092724gn3,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FQZsgf24soi1LZbXk1'],['text/plain'],,,,,,,
1759314583.407298,COF7xNZIOQ54JK1vf,10.0.0.2,35336,10.0.0.1,80,2,GET,10.0.0.1,/bootstrap.js?f=7268_3401,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,115,200.0,OK,[],['FysxHjrZ5Kq2lzcw4'],['text/plain'],,,,,,,
1759314583.404982,COF7xNZIOQ54JK1vf,10.0.0.2,35336,10.0.0.1,80,1,POST,10.0.0.1,/db/database/php/namespaces/namespaces/samples.php?i=64n722328,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",134,0,202.0,Accepted,[],,,['FlqtBU3eKr6wvrT8na'],['text/plain'],,,,,
1759317027.919235,CXMl811Z2rb0CSy5I9,10.0.0.1,34904,185.125.190.97,80,1,GET,connectivity-check.ubuntu.com.,/,1.1,,0,0,204.0,No Content,[],,,,,,,,,
1759317064.554527,CCJAjO2lLPDfWG6Eh5,10.0.0.2,38812,10.0.0.1,80,2,GET,10.0.0.1,/umd/jscript/assets/bundle/assets/bundle/js/bootstrap.min.js?k=799z9797,1.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.3835.571 Safari/537.36",0,116,200.0,OK,[],['FFWear2mOsExyOffm9'],['text/plain'],,,,,,,
