ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,established,ssl_history,ja3,ja3s,ja4,community_id,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status,next_protocol
1759314228.160067,CU8fe32e9o1wZnnp1f,10.0.0.1,37436,172.253.118.94,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,ssl.gstatic.com,True,False,Cs,ac2c44e3f5b4e68809bca7a75f5570f8,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759314307.985316,CLUTFF4iYxUYb5inE4,10.0.0.1,33212,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,default.exp-tas.com,False,True,CjiICs,779808124e171deaf69080a29d2184b7,46ca3a127f5443353dfb8cc2e16197e5,t13d1812h1_5d04281c6031_ef7df7f74e48,1:2tWEFL7Y290vW9GFlPNNr0tfsWc=,,,,,
1759314308.267575,CIMMwV3ClepJ1jGFWi,10.0.0.1,33214,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,default.exp-tas.com,False,True,CjiICs,779808124e171deaf69080a29d2184b7,46ca3a127f5443353dfb8cc2e16197e5,t13d1812h1_5d04281c6031_ef7df7f74e48,1:sTNSShZOcen1osM5GutrL/AaC3M=,,,,,
1759314317.880813,CXxLyF4o9HX06OJgid,10.0.0.1,47688,13.107.246.73,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,main.vscode-cdn.net,False,True,CjiICs,8eca1f52fd6a36bfb8284782a669ce8e,46ca3a127f5443353dfb8cc2e16197e5,t13d1516h2_8daaf6152771_d8a2da3f94cd,1:OGOHrDHY0d+VpWqthzKYWB2VmYM=,,,,,
1759314380.698098,Cat3Gl3YajAyFZ2JWh,10.0.0.1,35166,20.44.10.122,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:Q3oped7yOpk6FIEfeJwA61GsRDk=,,,,,
1759314345.196607,CEerBm4w00RHWObHN4,10.0.0.1,48373,74.125.68.138,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,accounts.youtube.com,True,False,Cs,00c1eaac95cbe4ad3195cf7feb4f8ec2,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759314500.77086,C8cZeV3RsJvJ14HAaf,10.0.0.1,52532,104.208.16.88,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:D4Ec5vmWdIhM36qPIuAjFaUW75I=,,,,,
1759314440.761225,C6kfQt2baMEuCs244e,10.0.0.1,43990,13.89.179.8,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:SvQapBUfDUQ+DDYE5uWzjA+kmqE=,,,,,
1759314473.039111,CUJqxh1aUaeKZEipKl,10.0.0.1,58435,142.251.12.94,443,TLSv13,TLS_AES_128_GCM_SHA256,unknown-4588,ssl.gstatic.com,True,False,Cs,56e05d2ed62e60b10969c18d5971dd11,2b0648ab686ee45e0e7c35fcfb0eea7e,q13d0313h3_55b375c5d22e_226f3f127bbe,,,,,,
1759314560.785126,CdqUMtSRKVsBFt2w1,10.0.0.1,57558,104.208.16.91,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,mobile.events.data.microsoft.com,False,True,CjiICs,06c7c8851b69f67e31df21d5075e2dfd,46ca3a127f5443353dfb8cc2e16197e5,t13d181200_5d04281c6031_02c8e53ee398,1:SoazBbd/KSnJCfqWq4lCit2i8bo=,,,,,
