#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-09-17-15-39-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1598035107.522436	-	192.168.99.52	0	68.183.138.51	0	bad_IP_checksum	-	F	zeek	IP
1598054584.845036	CNoDHa11R0vILtlB1k	192.168.99.51	61476	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054585.318111	CNoDHa11R0vILtlB1k	192.168.99.51	61476	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054585.328771	CNoDHa11R0vILtlB1k	192.168.99.51	61476	192.168.99.52	7680	inappropriate_FIN	-	F	zeek	TCP
1598054585.426293	CkQu1a3UDGlwTGPlL8	192.168.99.51	61481	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054585.721851	CkQu1a3UDGlwTGPlL8	192.168.99.51	61481	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054585.791127	CkQu1a3UDGlwTGPlL8	192.168.99.51	61481	192.168.99.52	7680	inappropriate_FIN	-	F	zeek	TCP
1598054586.845816	C9cA7m1Esw1MP48mAd	192.168.99.51	61490	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054586.845976	C9cA7m1Esw1MP48mAd	192.168.99.51	61490	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054586.847223	C9cA7m1Esw1MP48mAd	192.168.99.51	61490	192.168.99.52	7680	inappropriate_FIN	-	F	zeek	TCP
1598054587.362995	Cdtplm4TZ8Sktw6Il1	192.168.99.51	61491	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054588.768989	Cdtplm4TZ8Sktw6Il1	192.168.99.51	61491	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054591.435628	CYscc01dJ9l5X6kgq	192.168.99.51	61500	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054591.445255	CptqRS1lNAtLwnCNP5	192.168.99.51	61502	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054592.136744	CYscc01dJ9l5X6kgq	192.168.99.51	61500	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054592.321321	CptqRS1lNAtLwnCNP5	192.168.99.51	61502	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054599.767724	Ca8y3d1HfzHD4gd9q9	192.168.99.51	61510	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054600.546829	CPvpxj2F1xrMnUZdo	192.168.99.51	61511	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054600.591755	Ca8y3d1HfzHD4gd9q9	192.168.99.51	61510	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054600.597133	CPvpxj2F1xrMnUZdo	192.168.99.51	61511	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054601.352339	Ca8y3d1HfzHD4gd9q9	192.168.99.51	61510	192.168.99.52	7680	inappropriate_FIN	-	F	zeek	TCP
1598054601.352339	CPvpxj2F1xrMnUZdo	192.168.99.51	61511	192.168.99.52	7680	inappropriate_FIN	-	F	zeek	TCP
1598054611.868893	C1ZnQ63K6yNtnALeHd	192.168.99.51	61513	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054613.751744	C1ZnQ63K6yNtnALeHd	192.168.99.51	61513	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054627.899718	C5QwFy4oTE11T3SQOf	192.168.99.51	61532	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054627.900674	C6GBaI1nAO1AYCjtme	192.168.99.51	61533	192.168.99.52	7680	possible_split_routing	-	F	zeek	-
1598054628.966210	C5QwFy4oTE11T3SQOf	192.168.99.51	61532	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
1598054628.966529	C6GBaI1nAO1AYCjtme	192.168.99.51	61533	192.168.99.52	7680	data_before_established	-	F	zeek	TCP
